N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi
0	1	63598671622,09	25076	18460	625	0	740	1080	0
1	2	63598671622,094	25069	18457	561	0	740	1080	0
2	3	63598671622,095	25058	18457	497	0	740	1080	0
3	4	63598671622,098	25046	18457	469	0	740	1080	0
4	5	63598671622,106	25033	18457	417	0	740	1080	0
5	6	63598671622,11	25022	18457	377	0	750	1090	0
6	7	63598671622,114	25010	18457	324	0	750	1090	0
7	8	63598671622,118	24996	18457	272	0	750	1090	0
8	9	63598671622,126	24981	18457	196	0	750	1090	0
9	10	63598671622,13	24952	18457	0	0	750	1090	0
10	11	63598671622,134	24916	18457	0	0	750	1090	0
11	12	63598671622,138	24875	18457	0	0	750	1090	0
12	13	63598671622,146	24831	18457	0	587	750	1090	0
13	14	63598671622,15	24781	18457	0	541	750	1090	0
14	15	63598671622,156	24728	18457	0	540	750	1090	0
15	16	63598671622,158	24673	18457	0	443	750	1090	0
16	17	63598671622,166	24617	18464	0	368	750	1090	0
17	18	63598671622,17	24560	18479	0	311	750	1090	0
18	19	63598671622,174	24506	18503	0	275	750	1090	0
19	20	63598671622,178	24458	18533	0	296	750	1090	0
20	21	63598671622,186	24412	18569	0	311	750	1090	0
21	22	63598671622,19	24369	18613	0	322	750	1060	0
22	23	63598671622,194	24329	18663	0	321	750	1060	0
23	24	63598671622,198	24291	18717	0	293	750	1050	0
24	25	63598671622,206	24255	18778	0	293	750	1050	0
25	26	63598671622,21	24220	18847	0	277	750	1050	0
26	27	63598671622,214	24186	18923	0	257	750	1050	0
27	28	63598671622,218	24153	19005	0	279	750	1010	0
28	29	63598671622,226	24120	19093	0	295	750	1010	0
29	30	63598671622,23	24090	19184	0	281	750	1010	0
30	31	63598671622,234	24062	19278	0	276	750	1010	0
31	32	63598671622,238	24037	19374	0	282	750	1010	0
32	33	63598671622,247	24017	19469	0	292	750	1010	0
33	34	63598671622,251	24002	19563	0	311	750	1010	0
34	35	63598671622,254	23993	19650	0	325	760	1020	0
35	36	63598671622,259	23992	19730	0	328	760	1020	0
36	37	63598671622,266	23992	19800	0	331	760	1020	0
37	38	63598671622,27	23992	19860	0	316	760	1020	0
38	39	63598671622,274	24016	19910	0	318	770	1030	0
39	40	63598671622,278	24047	19947	0	307	770	1030	0
40	41	63598671622,286	24087	19970	0	290	770	1030	0
41	42	63598671622,29	24134	19975	0	275	770	1030	0
42	43	63598671622,294	24190	19975	0	257	770	1030	0
43	44	63598671622,298	24254	19954	0	253	760	1070	0
44	45	63598671622,306	24323	19907	0	241	760	1070	0
45	46	63598671622,31	24402	19843	0	237	760	1070	0
46	47	63598671622,314	24486	19760	0	205	760	1070	0
47	48	63598671622,318	24574	19663	0	199	760	1070	0
48	49	63598671622,326	24665	19557	0	199	760	1070	0
49	50	63598671622,33	24753	19445	0	191	760	1110	0
50	51	63598671622,334	24838	19332	0	184	750	1060	0
51	52	63598671622,338	24916	19221	0	178	750	1060	0
52	53	63598671622,346	24984	19117	0	197	750	1060	0
53	54	63598671622,35	25041	19022	0	188	750	1060	0
54	55	63598671622,354	25085	18939	0	186	750	1060	0
55	56	63598671622,358	25116	18869	0	197	750	1060	0
56	57	63598671622,366	25135	18813	0	208	750	1060	0
57	58	63598671622,37	25144	18771	0	236	750	1060	0
58	59	63598671622,374	25144	18740	0	250	750	1060	0
59	60	63598671622,378	25144	18720	0	280	750	1060	0
60	61	63598671622,386	25135	18711	0	308	750	1060	0
61	62	63598671622,39	25111	18711	0	342	760	1070	0
62	63	63598671622,394	25080	18711	0	355	770	1030	0
63	64	63598671622,398	25045	18729	0	375	770	1030	0
64	65	63598671622,406	25004	18765	0	394	770	1030	0
65	66	63598671622,41	24961	18813	0	394	770	1030	0
66	67	63598671622,414	24915	18876	0	388	770	1030	0
67	68	63598671622,418	24868	18955	0	392	770	1030	0
68	69	63598671622,426	24822	19048	0	396	770	1030	0
