N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi
0	1	1199,876	20284	22868	1023	0	550	1120	0
1	2	1199,881	20335	22990	994	0	560	1130	0
2	3	1199,886	20366	23049	970	0	560	1130	0
3	4	1199,891	20397	23107	946	0	560	1130	0
4	5	1199,896	20428	23161	934	0	560	1130	0
5	6	1199,901	20459	23214	922	0	570	1140	0
6	7	1199,906	20489	23267	910	0	570	1140	0
7	8	1199,911	20519	23320	898	0	570	1140	0
8	9	1199,916	20549	23371	886	0	580	1150	0
9	10	1199,921	20610	23474	862	0	580	1130	0
10	11	1199,926	20671	23572	850	0	590	1140	0
11	12	1199,931	20732	23665	826	0	600	1150	0
12	13	1199,936	20795	23756	814	0	600	1130	0
13	14	1199,941	20859	23840	790	0	610	1130	0
14	15	1199,946	20926	23919	766	0	620	1140	0
15	16	1199,951	20996	23992	730	0	630	1130	0
16	17	1199,956	21067	24061	694	0	640	1120	0
17	18	1199,961	21142	24125	653	0	650	1130	0
18	19	1199,966	21218	24186	605	0	670	1110	0
19	20	1199,971	21293	24244	557	0	680	1100	0
20	21	1199,976	21362	24294	509	0	690	1110	0
21	22	1199,981	21420	24340	0	0	700	1100	0
22	23	1199,986	21469	24378	0	0	710	1080	0
23	24	1199,991	21507	24410	0	0	720	1090	0
24	25	1199,941	21534	24436	0	386	720	1060	0
25	26	1199,946	21550	24458	0	436	730	1070	0
26	27	1199,951	21555	24476	0	439	740	1080	0
27	28	1199,956	21555	24489	0	403	740	1080	0
28	29	1199,961	21555	24503	0	356	750	1090	0
29	30	1199,966	21550	24518	0	361	750	1090	0
30	31	1199,971	21534	24534	0	376	750	1130	0
31	32	1199,976	21511	24552	0	379	750	1130	0
32	33	1199,981	21484	24570	0	368	750	1130	0
33	34	1199,986	21448	24587	0	336	750	1130	0
34	35	1199,991	21400	24600	0	258	750	1130	0
35	36	1199,996	21342	24605	0	250	740	1160	0
36	37	1200,001	21270	24605	0	267	740	1160	0
37	38	1200,006	21183	24600	0	320	740	1160	0
38	39	1200,011	21081	24568	0	298	740	1160	0
39	40	1200,016	20967	24520	0	352	740	1160	0
40	41	1200,021	20841	24458	0	403	740	1160	0
41	42	1200,026	20710	24383	0	394	740	1160	0
42	43	1200,031	20578	24298	0	460	740	1160	0
43	44	1200,036	20451	24208	0	498	740	1160	0
44	45	1200,041	20335	24114	0	459	740	1160	0
45	46	1200,046	20232	24019	0	510	740	1160	0
46	47	1200,051	20149	23927	0	497	740	1160	0
47	48	1200,056	20086	23840	0	504	740	1110	0
48	49	1200,061	20046	23756	0	487	740	1110	0
49	50	1200,066	20029	23675	0	480	740	1110	0
50	51	1200,071	20029	23598	0	465	740	1110	0
51	52	1200,076	20045	23525	0	444	740	1080	0
52	53	1200,081	20098	23460	0	402	740	1080	0
53	54	1200,086	20177	23400	0	385	740	1080	0
54	55	1200,091	20281	23347	0	366	730	1070	0
55	56	1200,096	20409	23301	0	371	730	1070	0
