N°Pt	SN	T	X	Y	Z	P	Alt	Azi	Twi
0	1	0	29577	17917	1023	0	780	200	0
1	2	5	29558	17879	1023	0	780	200	0
2	3	10	29557	17868	1010	0	780	200	0
3	4	15	29557	17861	998	0	790	220	0
4	5	20	29557	17852	974	0	790	220	0
5	6	25	29557	17843	950	0	790	220	0
6	7	30	29557	17836	930	0	790	220	0
7	8	35	29557	17830	906	0	790	220	0
8	9	40	29562	17825	858	0	790	220	0
9	10	45	29571	17822	790	0	800	170	0
10	11	50	29593	17821	722	0	810	180	0
11	12	55	29616	17820	653	0	810	180	0
12	13	60	29643	17820	585	0	810	180	0
13	14	65	29675	17819	513	0	810	180	0
14	15	70	29713	17819	425	0	810	200	0
15	16	75	29753	17829	341	0	810	200	0
16	17	80	29789	17859	260	0	820	140	0
17	18	85	29789	17882	0	0	830	160	0
18	19	90	29833	17906	0	0	830	160	0
19	20	95	29880	17932	0	0	840	180	0
20	21	99	29906	17959	0	580	840	180	0
21	22	104	29931	17990	0	552	840	180	0
22	23	109	29958	18025	0	526	850	220	0
23	24	114	29992	18066	0	508	850	110	0
24	25	119	30039	18124	0	447	850	110	0
25	26	124	30101	18196	0	413	860	140	0
26	27	129	30178	18281	0	391	860	140	0
27	28	134	30268	18379	0	387	860	140	0
28	29	139	30371	18489	0	387	860	140	0
29	30	144	30486	18609	0	376	870	180	0
30	31	149	30609	18735	0	372	870	180	0
31	32	154	30738	18865	0	400	870	180	0
32	33	159	30873	18999	0	433	880	270	0
33	34	164	31011	19138	0	414	880	270	0
34	35	169	31151	19276	0	415	880	270	0
35	36	174	31292	19412	0	421	880	270	0
36	37	179	31434	19548	0	416	880	270	0
37	38	184	31574	19683	0	385	880	270	0
38	39	189	31716	19813	0	365	880	0	0
39	40	194	31857	19937	0	334	880	0	0
40	41	199	31995	20051	0	339	880	0	0
41	42	204	32129	20155	0	364	880	0	0
42	43	209	32260	20253	0	358	880	0	0
43	44	214	32389	20343	0	413	880	0	0
44	45	219	32514	20424	0	401	880	0	0
45	46	224	32636	20498	0	387	880	0	0
46	47	229	32753	20565	0	419	880	0	0
47	48	234	32866	20626	0	396	880	0	0
48	49	239	32974	20681	0	433	890	0	0
49	50	244	33075	20727	0	449	890	0	0
50	51	249	33168	20765	0	438	890	0	0
51	52	254	33253	20793	0	447	890	0	0
52	53	259	33326	20811	0	440	890	0	0
53	54	264	33385	20815	0	421	900	0	0
54	55	269	33430	20815	0	410	900	0	0
55	56	274	33459	20784	0	372	900	0	0
56	57	279	33472	20720	0	368	890	900	0
57	58	284	33472	20628	0	386	890	900	0
58	59	289	33462	20508	0	345	890	900	0
59	60	294	33417	20360	0	340	890	900	0
60	61	299	33352	20185	0	366	890	900	0
61	62	304	33269	19982	0	360	890	900	0
62	63	309	33169	19761	0	360	890	900	0
63	64	314	33056	19528	0	360	890	900	0
64	65	319	32934	19290	0	455	890	450	0
65	66	324	32808	19055	0	435	890	450	0
66	67	329	32682	18823	0	465	890	450	0
67	68	334	32561	18601	0	507	880	270	0
68	69	339	32447	18391	0	541	880	270	0
69	70	344	32345	18201	0	520	880	270	0
70	71	349	32252	18031	0	534	870	180	0
71	72	354	32171	17882	0	533	870	0	0
72	73	359	32100	17756	0	535	870	0	0
73	74	364	32041	17653	0	550	860	0	0
74	75	369	31991	17573	0	528	860	0	0
75	76	374	31950	17517	0	534	850	0	0
76	77	379	31917	17484	0	541	850	0	0
77	78	384	31889	17472	0	523	850	0	0
78	79	389	31868	17472	0	508	850	0	0
79	80	394	31848	17508	0	484	850	0	0
80	81	399	31831	17577	0	457	840	0	0
81	82	404	31814	17671	0	447	840	0	0
82	83	409	31799	17791	0	443	840	3510	0
83	84	414	31785	17938	0	443	840	3510	0
84	85	419	31773	18109	0	441	850	3490	0
85	86	424	31766	18299	0	416	850	3490	0
86	87	429	31762	18508	0	360	850	3490	0
87	88	434	31762	18727	0	360	850	0	0
88	89	439	31762	18954	0	400	860	0	0
89	90	444	31763	19183	0	444	860	0	0
90	91	449	31781	19411	0	403	870	0	0
91	92	454	31806	19634	0	350	870	0	0
92	93	459	31834	19849	0	411	880	0	0
93	94	464	31865	20054	0	391	880	0	0
94	95	469	31900	20243	0	323	890	0	0
95	96	474	31936	20414	0	329	890	0	0
96	97	479	31972	20568	0	326	900	0	0
97	98	484	32008	20703	0	356	900	0	0
98	99	489	32043	20820	0	353	900	0	0
99	100	494	32077	20918	0	354	900	0	0
100	101	499	32108	20996	0	360	890	1800	0
101	102	504	32138	21056	0	378	890	1800	0
102	103	509	32167	21100	0	394	890	1800	0
103	104	514	32196	21129	0	410	890	1800	0
104	105	519	32229	21142	0	430	880	1800	0
105	106	524	32268	21142	0	447	880	1800	0
106	107	529	32314	21138	0	471	880	1800	0
107	108	534	32365	21103	0	488	870	1800	0
108	109	539	32427	21056	0	501	870	1800	0
109	110	544	32501	20997	0	515	870	1800	0
110	111	549	32587	20929	0	520	870	1800	0
111	112	554	32684	20854	0	532	860	1800	0
112	113	559	32790	20777	0	527	870	1800	0
113	114	564	32901	20702	0	522	870	1620	0
114	115	569	33016	20634	0	490	870	1620	0
115	116	574	33135	20574	0	458	870	1620	0
116	117	579	33249	20523	0	310	880	1530	0
117	118	584	33356	20487	0	297	880	1530	0
118	119	589	33451	20464	0	134	880	1530	0
119	120	594	33533	20456	0	50	880	1170	0
120	121	599	33533	20456	24	0	890	1350	0
121	122	604	33642	20456	60	0	890	900	0
122	123	609	33663	20480	120	0	890	900	0
123	124	614	33664	20511	180	0	890	900	0
124	125	619	33664	20551	252	0	890	900	0
125	126	624	33630	20596	336	0	890	900	0
126	127	629	33579	20649	421	0	890	900	0
127	128	634	33579	20649	505	0	890	900	0
